sec,nat,scho,town,sect,study,final
76.39,58,2279,35,9,5,4
68.97,58,304,23,9,2,4
78.04,58,63,35,9,5,5
72.85,58,1221,35,8,5,4
70.68,58,2279,35,9,5,4
90.22,58,1607,39,9,2,5
82.13,58,1506,35,9,5,5
81.22,58,1506,35,9,5,5
74.26,58,257,35,8,5,4
85.48,58,462,35,9,5,5
79.61,58,1506,35,9,5,5
91.52,58,1940,35,9,5,5
73.37,58,428,35,8,5,4
74.85,58,557,35,8,5,4
81.35,58,1505,35,9,5,4
81.35,58,56,35,9,5,4
85.22,58,1551,35,9,5,5
89.87,58,1159,35,9,5,6
83.13,58,1281,35,9,5,5
71.18,58,2028,35,9,5,5
73.39,58,525,35,9,5,4
82.83,58,1502,35,9,5,5
81.13,58,1236,35,9,5,4
81.59,58,1551,35,9,5,5
90.26,58,1505,35,9,5,5
90.39,58,2440,30,9,5,5
80.52,58,1551,35,9,5,5
75.03,58,1507,35,8,2,4
84.48,58,306,35,9,5,4
80.74,58,181,35,8,5,5
81.5,58,1902,35,9,5,5
88.65,58,1902,35,9,5,5
82.17,58,257,35,9,5,4
79.91,58,1236,35,9,5,4
77.61,58,63,35,9,5,4
76.43,58,1236,35,9,5,4
88.53,58,413,35,9,2,6
66.11,58,2043,35,8,3,4
65.94,58,261,35,8,3,3
74.06,58,181,35,8,5,5
73.78,58,1221,35,9,5,4
98.37,58,2028,35,8,5,6
87.48,58,284,35,9,5,5
77.26,58,1159,35,9,5,4
71.77,58,428,35,9,5,4
74.65,58,1159,35,9,5,4
85.87,58,1159,35,9,5,5
90.39,58,1160,35,9,5,5
72,58,1160,35,9,5,4
90.3,58,1160,35,9,5,5
93.25,77,1904,35,8,3,6
52.08,21,428,35,8,5,3
71.35,77,1903,35,9,2,4
61.42,58,2410,35,8,3,3
63.68,58,1856,35,9,4,4
60.97,58,462,35,8,5,3
78.43,58,1143,35,9,5,4
76.64,58,212,35,8,3,5
83.26,58,1551,35,9,5,4
85.87,58,1953,35,9,5,5
